aaplus				MIT		C#, .NET				Meeus
afn					GPL		C, IDL and Python		n-body simulations, plotting, data analisys
aida-deconvolution	nBSD	Numerical Python		image deconvolution
apes-nbody			??		C						contains NASA/JPL LGPL code in svn/trunk/ephemeris/tools/nasa/
asterope			GPL		Java					planetarium
astroalgo			GPL		C, C#, !JavaScript		Meeus (to be replaced by own LGPL code)
astrogui			GPL		Python					FITS
astronomex			GPL		Python					datasets manipulation
astronomyworks		nBSD	Python					data calibration and analysis
casacore			GPL		C++						?? - full of code
computus			MIT		!ActionScript			digital horology
delphimoon			LGPL	Delphi Pascal			Moon computations, oriented towards X ←
gaostars			Apache	PHP, Ruby				processing/analysing .proclog files
hattrick-nbody		GPL		C++						N-Body “integrator”
javalens			GPL		Java					grav microlesing
multifit			GPL		C++						grav microlesing
nmod				GPL		C++						n-Body Modelling Toolkit
ntv					nBSD	python					visualize FITS files
opencoeli			GPL		Java					planetarium, most similar to my project - to assist??
pygalkin			GPL		Python					3D Data
qview-Python		GPL		Python					lightcurve plotter
sdssidl				GPL		IDL, C/C++, Postgres	general data analysis
skua				Apache	SOA						Semantic Knowledge Underpinning Astronomy
skygazer			GPL		Java					networked telescope control and observation
spectclean			nBSD	Perl, C++				spectral analysis
transformapplier	MIT		C++						amateur var obs transformer algorithm
tops				MIT		Python					Telescope Operations Software
wcs2kml				Apache	C++, Python				FITS-to-PNG/JPEG converter ←
